OBJECTID, SCHOOL_NAME, PHONE, SCHOOL_ADDRESS, CITY, STATE, ZIP_CODE, COUNTRY, HEAD_OF_SCHOOL, EMAIL_ADDRESS, WEBSITE, ENROLLMENT_SIZE, ESTABLISHED_YEAR, GRADE_BRACKETS, TUITION_RANGE, ACCREDITATION_STATUS, FEATURES, SCHOOL_SERVICES_PROGRAMS, HIFDH_PROGRAM, FACEBOOK, INSTAGRAM, TWITTER, YOUTUBE, LINKEDIN, FLICKR, FID, LATITUDE, LONGITUDE
"1","Al-Iman Academy of Mobile","(251) 605-6745","36 East Dr, Mobile, AL 36608","Mobile","Alabama","Prek-12th","United States","","alimanacademy99@gmail.com","http://alimanacademyofmobile.com/","86","","Prek-12th","$3000-$5000","","Sibling disc. E-learning portal,","","","https://www.facebook.com/alimanacademyofmobile/","","","","","","1","30.6888725","-88.18029399999999"
"2","Islamic Academy of Huntsville - IAH","(256) 722-9838","1645 Sparkman Dr NW, Huntsville, AL 35816","Huntsville","Alabama","Prek-5th","United States","Mussarat Qureshi","office@islamicacademyofhuntsville.org","http://IslamicAcademyofHuntsville.org","42","1997","Prek-5th","$3000-$4999","Yes","sibling disc, uniform, Library, science and computer labs, smart board at classrooms, competitions, Extra curricular (Art and daily PE), Leveled Quraan classes, Character building.","","","","","","","","","2","34.7426918","-86.6484852"
"3","Iqra Math and Science Academy","(256) 403-6161","1821 Mc Call Dr, Anniston, AL 36207","Anniston","Alabama","KG-12th","United States","Adam Demir","secretary@imsacademy.org","imsacademy.org","92","2011","KG-12th","$7000-$8999","Yes","College preparatory, Building character, Sibling disc, scholarship, dorms, dual program, MAP testing, International students, afterschool clubs, AP classes, Free clinic for students and community, Uniform, library, science and computer labs, ESL program, lunch program for boarding students","","","https://www.facebook.com/faceIMSA/","https://www.youtube.com/channel/UCvWiWeJI3kJ7Po","https://twitter.com/tweetimsa","","","","3","33.6684538","-85.8137595"
"4","Al Huda Islamic School","(520) 624-8182","2800 E River Rd, Tucson, AZ 85718","Tucson","Arizona","","United States","","","https://www.facebook.com/ALHUDAAZ.ORG/","","","","","Yes","","","","","","","","","","4","32.2841244","-110.9310346"
"5","Noor Academy of Arizona","(480) 829-1443","1130 W 23rd St, Tempe, AZ 85282","Tempe","Arizona","Prek-8th","United States","Fuad Alnatsheh","frontdesk@nooracademyaz.com","http://www.nooracademyaz.com","100","1998","Prek-8th","$7000-$8999","Yes","hot lunch, scholarship, science and computer labs, uniforms, sibling disc, financial aid, C/ch program, PTA, Sports, Afterschool clubs, competitions (science fair, quraan, spelling bee), ESL, digital citizenship","","","https://www.facebook.com/NoorAcademyofArizona","","","","","","5","33.40403149999999","-111.9556492"
"6","Al-Ansar Academy","(714) 535-6981","1717 S Brookhurst St, Anaheim, CA 92804","Anaheim","California","","United States","Mrs. Shaista Javeed","office@alansaracademy.org","http://www.alansaracademy.org","50","2005","","","No","hot lunch, scholarship, uniforms, sibling disc, staff disc; financial aid","","","https://www.facebook.com/alansaracademyanaheim","","","","","","6","33.8055971","-117.9595433"
"7","Al-Hadi School","(323) 771-9135","5150 Gage Ave, Bell, CA 90201","Bell","California","","United States","Br. Salem Fahs","info@alhadischool.org","http://www.alhadischool.org/","","1996","","","","","","","","","","","","","7","33.9761826","-118.1730646"
"8","Institute of Knowledge","(909) 595-2401","1009 Vía Sorella, Diamond Bar, CA 91789","Diamond Bar","California","TK - 10th","United States","Abdulrahman Hachache, Imran Ahmed","school@instituteofknowledge.com","https://instituteofknowledge.com/school/","250-300","2000","TK - 10th","$5000-$6999","Yes","STEM, Debate, Afterschool clubs, Student Leadership, Alumni, WASC Accredited","","","https://www.facebook.com/IOKDiamondBar/","https://www.instagram.com/iokdiamondbar/","https://twitter.com/iokdiamondbar","","","","8","33.999682","-117.8380572"
"9","Granada Islamic School","(408) 980-1161","3003 Scott Blvd, Santa Clara, CA 95054","Santa Clara","California","Prek-12th","United States","Nesreen Jambaih & Haseeb Sadat","","http://www.granadaschool.org","500","1988","Prek-12th","$8,000-12,000","Yes","scholarship, science and computer lab, uniforms, sibling disc,financial aid, Sport teams, Library, Model UN,","","","https://www.facebook.com/Granada.Islamic.School/","https://www.instagram.com/granadaschool/","","","","","9","37.3771804","-121.9592202"
"10","ICC Community School","951-547-9294","3619 N Garey Ave, Pomona, CA 91767","Pomona","California","Prek-8th","United States","Amal M. Taher","v.ataya@icccschool.org","https://www.icccschool.org/","78","1993","Prek-8th","$5000-$6999","Yes","hot lunch, scholarship, science lab, uniforms,financial aid, competitions,","","","https://www.facebook.com/icccommunityschool/","https://www.instagram.com/iccschool/?hl=en","","","","","10","34.1086065","-117.7491114"
