OBJECTID,SCHOOL_NAME,SCHOOL_ADDRESS,FEATURES,LATITUDE,LONGITUDE,CITY,STATE,STATE_SHORTNAME,ZIP_CODE,ESTABLISHED_YEAR,WEBSITE,FACEBOOK,INSTAGRAM,TWITTER,YOUTUBE,LINKEDIN,FLICKR,PHONE,EMAIL_ADDRESS,ACCREDITATION_STATUS,ACCREDITATION_AGENCY,ENROLLMENT_SIZE,SCHOOL_SERVICES_PROGRAMS,FID
1,Annoor Academy of Knoxville,724 Foxvue Road,"hot lunch, scholarship, science lab, uniforms",35.891239,-84.109291,Knoxville,Tennessee,TN,37922,1998,http://www.annoor.org,https://www.facebook.com/annooracademy,https://www.instagram.com/annooracademy/,,,,,(865) 525-3399,reem@annooracademy.net,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress",160,"After school clubs,Tutoring Program,Sports teams,Regional and National competitions,Advanced Placement (AP),College preparatory programs",1
2,Salam Academy,8015 Mountain Rd PL NE,N/A,35.09191,-106.55665,Albuquerque,New Mexico,NM,87110,2001,http://www.salamacademy.org,https://www.facebook.com/p/Salam-Academy-Where-Education-Has-No-Limits-100063564730997/,,,,,,(505) 888-7688,questions@salamacademy.org,Accredited,Cognia- Formerly AdvancED & Measured Progress,119,"Tutoring Program,Homeschooling support,Regional and National competitions,College dual credit,Alumni association",2
3,El-Sewedy International Academy of Cincinnati,P.O. Box 1369,N/A,40.6038,-84.09074,West Chester,Ohio,OH,45071,2000,http://www.intlacademy.org,,,,,,,(513) 755-0169,info@intlacademy.org,Not accredited,,224,"Transportation/busing,After school clubs,English Language Learner (ELL) support",3
4,Peace Terrace Academy,33330 Peace Terrace,N/A,37.58078,-122.054932,Fremont,California,CA,94555,1998,http://www.peaceterrace.org,https://www.facebook.com/peaceterraceacademy/,,,,,,(510) 477-9946,admin@peaceterrace.org,Accredited,WASC- Western Association of Schools and Colleges,230,"After school clubs,Special education,Character/tarbiyah program,Tutoring Program,Debate,Digital citizenship education,English Language Learner (ELL) support,Hifdh,Sports teams",4
5,Genesee Academy,9447 Corunna road,"hot lunch, scholarship, science lab, uniforms",43.00009,-83.86785,Swartz Creek,Michigan,MI,48473,1995,http://www.gaflint.org,https://www.facebook.com/gaflint,,,,,,(810) 250-7557,principal@gaflint.org,Accredited,Cognia- Formerly AdvancED & Measured Progress,254,"Transportation/busing,Character/tarbiyah program,International Baccalaureate (IB),Tutoring Program,English Language Learner (ELL) support,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs",5
6,Al-Iman School,3020 Ligon Street,"hot lunch, scholarship, science lab, uniforms",35.78942,-78.692,Raleigh,North Carolina,NC,27607,1992,http://alimanschool.org,https://www.facebook.com/alimancrescent/,https://www.instagram.com/alimanschoolnc/,,,,,(919) 821-1699,principal@alimancrescent.org,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress",290,"After school clubs,Character/tarbiyah program,Digital citizenship education,Regional and National competitions",6
7,New Horizons Academy DBA ALRazi Academy ,1119 5th St,uniforms,41.44922,-82.69372,West Des Moines,Iowa,IA,50265,2003,http://www.alraziacademy.org,https://www.facebook.com/AlRaziAcademy04,,https://twitter.com/AlRaziAcademy,https://www.youtube.com/@NewHorizonsAcademy,,,(515) 255-0220,mynewhorizonsacademy04@gmail.com,Not accredited,,20,"Transportation/busing,After school clubs,Regional and National competitions",7
8,ZAMZAM KNOWLEDGE ACADEMY INC,347 S Keech Street,uniforms,29.20047,-81.0343,Daytona Beach,Florida,FL,32114,2016,http://zamzamacademyfl.com,https://www.facebook.com/search/top?q=zamzam%20knowledge%20academy,,,,,,(386) 301-9901,zamzamacademyfl@gmail.com,Not accredited,,23,"Character/tarbiyah program,Tutoring Program",8
9,Montessori School of Excellence,6200 Virginia Parkway,N/A,33.19939,-96.7009,Mckinney,Texas,TX,75071,2012,http://www.montessoriexcellence.com,https://www.facebook.com/MontessoriSchoolOfExcellence/,https://www.instagram.com/montessoriexcellence/,,https://www.youtube.com/@MontessoriExcellence,,,(214) 491-6090,info@montessoriexcellence.com,Granted candidacy status,Cognia- Formerly AdvancED & Measured Progress,75,"Character/tarbiyah program,Montessori curriculum/program,Homeschooling support",9
10,Muslim Academy,440 Realty Drive,N/A,29.8787,-90.02961,Gretna,Louisiana,LA,70056,2000,http://www.muslimacademyla.org,,,https://twitter.com/MuslimAcademyLa,,,,(504) 433-1960,principal@muslimacademyla.com,Not accredited,,320,"College dual credit,College preparatory programs",10
