OBJECTID,SCHOOL_NAME,PHONE,SCHOOL_ADDRESS,CITY,STATE,ZIP_CODE,COUNTRY,HEAD_OF_SCHOOL,EMAIL_ADDRESS,WEBSITE,ENROLLMENT_SIZE,ESTABLISHED_YEAR,GRADE_BRACKETS,TUITION_RANGE,ACCREDITATION_STATUS,ACCREDITATION_AGENCY,FEATURES,SCHOOL_SERVICES_PROGRAMS,HIFDH_PROGRAM,FACEBOOK,INSTAGRAM,TWITTER,YOUTUBE,LINKEDIN,FLICKR,FID
1,Annoor Academy of Knoxville,(865) 525-3399,724 Foxvue Road,Knoxville,Tennessee,37922,United States,,reem@annooracademy.net,http://www.annoor.org,160,1998,,,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress","hot lunch, scholarship, science lab, uniforms","After school clubs,Tutoring Program,Sports teams,Regional and National competitions,Advanced Placement (AP),College preparatory programs",,https://www.facebook.com/annooracademy,https://www.instagram.com/annooracademy/,,,,,1
2,Salam Academy,(505) 888-7688,8015 Mountain Rd PL NE,Albuquerque,New Mexico,87110,United States,,questions@salamacademy.org,http://www.salamacademy.org,119,2001,,,Accredited,Cognia- Formerly AdvancED & Measured Progress,N/A,"Tutoring Program,Homeschooling support,Regional and National competitions,College dual credit,Alumni association",,https://www.facebook.com/p/Salam-Academy-Where-Education-Has-No-Limits-100063564730997/,,,,,,2
3,El-Sewedy International Academy of Cincinnati,(513) 755-0169,P.O. Box 1369,West Chester,Ohio,45071,United States,,info@intlacademy.org,http://www.intlacademy.org,224,2000,,,Not accredited,,N/A,"Transportation/busing,After school clubs,English Language Learner (ELL) support",,,,,,,,3
4,Peace Terrace Academy,(510) 477-9946,33330 Peace Terrace,Fremont,California,94555,United States,,admin@peaceterrace.org,http://www.peaceterrace.org,230,1998,,,Accredited,WASC- Western Association of Schools and Colleges,N/A,"After school clubs,Special education,Character/tarbiyah program,Tutoring Program,Debate,Digital citizenship education,English Language Learner (ELL) support,Hifdh,Sports teams",,https://www.facebook.com/peaceterraceacademy/,,,,,,4
5,Genesee Academy,(810) 250-7557,9447 Corunna road,Swartz Creek,Michigan,48473,United States,,principal@gaflint.org,http://www.gaflint.org,254,1995,,,Accredited,Cognia- Formerly AdvancED & Measured Progress,"hot lunch, scholarship, science lab, uniforms","Transportation/busing,Character/tarbiyah program,International Baccalaureate (IB),Tutoring Program,English Language Learner (ELL) support,Regional and National competitions,Advanced Placement (AP),College dual credit,College preparatory programs",,https://www.facebook.com/gaflint,,,,,,5
6,Al-Iman School,(919) 821-1699,3020 Ligon Street,Raleigh,North Carolina,27607,United States,,principal@alimancrescent.org,http://alimanschool.org,290,1992,,,Accredited,"CISNA- Council of Islamic School of North America,Cognia- Formerly AdvancED & Measured Progress","hot lunch, scholarship, science lab, uniforms","After school clubs,Character/tarbiyah program,Digital citizenship education,Regional and National competitions",,https://www.facebook.com/alimancrescent/,https://www.instagram.com/alimanschoolnc/,,,,,6
7,New Horizons Academy DBA ALRazi Academy ,(515) 255-0220,1119 5th St,West Des Moines,Iowa,50265,United States,,mynewhorizonsacademy04@gmail.com,http://www.alraziacademy.org,20,2003,,,Not accredited,,uniforms,"Transportation/busing,After school clubs,Regional and National competitions",,https://www.facebook.com/AlRaziAcademy04,,https://twitter.com/AlRaziAcademy,https://www.youtube.com/@NewHorizonsAcademy,,,7
8,ZAMZAM KNOWLEDGE ACADEMY INC,(386) 301-9901,347 S Keech Street,Daytona Beach,Florida,32114,United States,,zamzamacademyfl@gmail.com,http://zamzamacademyfl.com,23,2016,,,Not accredited,,uniforms,"Character/tarbiyah program,Tutoring Program",,https://www.facebook.com/search/top?q=zamzam%20knowledge%20academy,,,,,,8
9,Montessori School of Excellence,(214) 491-6090,6200 Virginia Parkway,Mckinney,Texas,75071,United States,,info@montessoriexcellence.com,http://www.montessoriexcellence.com,75,2012,,,Granted candidacy status,Cognia- Formerly AdvancED & Measured Progress,N/A,"Character/tarbiyah program,Montessori curriculum/program,Homeschooling support",,https://www.facebook.com/MontessoriSchoolOfExcellence/,https://www.instagram.com/montessoriexcellence/,,https://www.youtube.com/@MontessoriExcellence,,,9
10,Muslim Academy,(504) 433-1960,440 Realty Drive,Gretna,Louisiana,70056,United States,,principal@muslimacademyla.com,http://www.muslimacademyla.org,320,2000,,,Not accredited,,N/A,"College dual credit,College preparatory programs",,,,https://twitter.com/MuslimAcademyLa,,,,10
