SCHOOL_NAME,SCHOOL_ADDRESS,city,state,ZIP_CODE,phone,website,CONTACT_PERSON,role,EMAIL_ADDRESS, latitude,longitude
Birmingham Islamic Society-Weekend Islamic school,"2524 Hackberry Lane, Hoover, AL, USA 35226",Hoover,Alabama,35226,1 205-879-4247,https://www.bisweb.org/wis/,Nasim Uddin,President,"nasim.uddin@bisweb.org, 
bisoffice@bisweb.org",,
Huntsville Islamic Center - Sunday Islamic School,"1645 Sparkman Drive, Huntsville, AL 35816",Huntsville,Alabama,35816,256-721-1712,https://huntsvilleislamiccenter.org/,Br. Miran Mohammed,President,"president@huntsvilleislamiccenter.org, 
hicsundayschool@gmail.com",,
Islamic Center of Tuscaloosa,"1416 Paul W Bryant Dr, Tuscaloosa, AL 35401",Tuscaloosa,Alabama,35401,1 205 886 0596,https://istuscaloosa.org,,,support@istuscaloosa.org,,
Fahed Al Aoida School,"8005 Spring St. & E 80th Ave, Anchorage, AK 99518",Anchorage,Alaska,99518,907-250-3664,https://alaskamasjid.org/FahedAlAodaSchool.html,Dali Osmane,In Charge,alaskamuslimcommunity@yahoo.com,,
ICNEV LEARNING CENTER - Islamic Center North East Valley,"Islamic Center Of North East Valley, 12125 East Vía Linda, Scottsdale, AZ, 85259",Chandler,Arizona,85259,(602) 456-0199,https://islamcenter.com/icnev-learning-center,,In Charge,pr@islamcenter.com,,
ICEV Sunday School,"425 N Alma School Rd, Chandler, AZ 85224",Chandler,Arizona,85224,(480) 910-0330,https://sites.google.com/icevmasjid.org/icev-sunday-school/home,,,sundayschool@icevmasjid.org,,
Islamic Community Center of Phoenix,"7516 North Black Canyon Highway, Phoenix, AZ 85051",Phoenix,Arizona,8505,(602) 249-0496,https://iccpaz.com/school/,,,info@iccpaz.com,,
Ariizona Culturul Academy,"7810 S 42nd Pl, Phoenix, AZ 85042",Phoenix,Arizona,85042,(602) 454-1222,https://www.azacademy.org/,,,"info@azacademy.org
administration@azacademy.org
aca.registrar@azacademy.org",,
Islamic Center of Little Rocks,"3224 Anna St, Little Rock, AR 72204",Little Rock,Arkansas,72204,01-565-4930,https://theiclr.org/sunday-school/,,Principal,principal@hudaacademy.org,,
Bentonville Islamic Center,"1801 SW 2nd St, Bentonville, AR 72712",Bentonville,Arkansas,72712,1 (479) 385-6242,https://bic-ar.org/,,,bicnwa@gmail.com,,
MEdina Institute,,,Arkansas,,,,,,sundayschool@madinainstitute.us,,
Rocky Mountain Islamic Center,"7510 W Mississippi ave, Lakewood, Colorado",Lakewood,Colorado,80232,1 720-583-4463,https://www.rmislamiccenter.com,,,rmislamiccenter@gmail.com,,
Masjid Al Nur,"2124 South Birch Street, Denver, CO 80222",Denver,Colorado,80222,"(303) 759-1985, (970) 703-5891",https://disbirchstreet.wixsite.com/masjid-alnur,,,dis.birchstreet@gmail.com,,
Islamic Center of Fort Collins,"925 West Lake Street, Fort Collins, CO 80521",Fort Collins,Colorado,80521,1 (970) 221-2425,https://www.icfc.org/,,,info@icfc.org,,
South Denver Islamic Center,"PO Box 4675, Greenwood Village, CO 80155",Green Wood,Colorado,80155,720-772-7342,https://www.khadeejah.org/,Mohammad Waseem Khan,President,,,
Cresent View Academy,"10958 East Bethany Drive, Aurora, CO 80014",Aurora,Colorado,80014,(303) 745-2245,http://crescentview.org/,Iyad Wazwaz,Principal,info@crescentview.org,,
Metropolitan Denver North Islamic Center,"11141 N Irma Drive, Northglenn, CO 80233",Northglenn,Colorado,80233,303-920-0252,www.masjidikhlas.org,,,"ikhlasacademy@masjidikhlas.org
office@masjidikhlas.org",,
Quba Masjid,"Golden Crescent, Hayes, UB3 1AQ",Alameda,California,94550,44(0) 208 150 9299,https://www.qubamasjid.com/qubamadrasah/,,,info@qubamasjid.com,,
