directory_organization_id,unique_id,name,address,city,state,zip_code,country,phone,website,email_primary,contact_person,contact_person_role,latitude,longitude,map_object_id,is_imported,is_active
1,0aa1eecb-feba-4b7e-af93-864e9f6b8c24,Birmingham Islamic Society-Weekend Islamic school,"2524 Hackberry Ln, Hoover, AL 35226",Hoover,Alabama,35226,United States,1 205-879-4247,https://www.bisweb.org/wis/,nasim.uddin@bisweb.org,Nasim Uddin,President,33.4194263,-86.8147379,1,1,1
2,127ed434-d4a6-4e75-8908-257942b13b1e,Huntsville Islamic Center - Sunday Islamic School,"1645 Sparkman Dr NW, Huntsville, AL 35816",Huntsville,Alabama,35816,United States,256-721-1712,https://huntsvilleislamiccenter.org/,president@huntsvilleislamiccenter.org,Br. Miran Mohammed,President,34.7426918,-86.6484852,2,1,1
3,4b481196-2c47-4918-bfcf-d25e99981548,Islamic Center of Tuscaloosa,"1416 Paul W Bryant Dr, Tuscaloosa, AL 35401",Tuscaloosa,Alabama,35401,United States,1 205 886 0596,https://istuscaloosa.org,support@istuscaloosa.org,,,33.2068501,-87.5558584,3,1,1
4,9b198915-0c25-432c-a6f7-fe3f8370e0d4,Fahed Al Aoida School,"E 80th Ave, Anchorage, AK 99518",Anchorage,Alaska,99518,United States,907-250-3664,https://alaskamasjid.org/FahedAlAodaSchool.html,alaskamuslimcommunity@yahoo.com,Dali Osmane,In Charge,61.1483494,-149.8640232,4,1,1
5,8efd4697-ec2d-4739-927d-e33f38230b3f,ICNEV LEARNING CENTER - Islamic Center North East Valley,"12125 E Vía Linda, Scottsdale, AZ 85259",Chandler,Arizona,85259,United States,(602) 456-0199,https://islamcenter.com/icnev-learning-center,pr@islamcenter.com,,In Charge,33.5892363,-111.8187643,5,1,1
6,87b09ce4-55e5-420d-a77a-04e37b0d849d,ICEV Sunday School,"425 N Alma School Rd, Chandler, AZ 85225",Chandler,Arizona,85224,United States,(480) 910-0330,https://sites.google.com/icevmasjid.org/icev-sunday-school/home,sundayschool@icevmasjid.org,,,33.3109777,-111.8576207,6,1,1
7,f626f392-40c8-413f-acf7-911379379242,Islamic Community Center of Phoenix,"7516 N Black Cyn Hwy, Phoenix, AZ 85051",Phoenix,Arizona,8505,United States,(602) 249-0496,https://iccpaz.com/school/,info@iccpaz.com,,,33.5465429,-112.1127951,7,1,1
8,0c2a36cb-6611-4051-8988-a341cedd966b,Ariizona Culturul Academy,"7810 S 42nd Pl, Phoenix, AZ 85042",Phoenix,Arizona,85042,United States,(602) 454-1222,https://www.azacademy.org/,info@azacademy.org,,,33.3756163,-111.9929104,8,1,1
9,f1e3a700-a073-4b6e-a9cf-c2063c3ec28a,Islamic Center of Little Rocks,"3224 Anna St, Little Rock, AR 72204",Little Rock,Arkansas,72204,United States,01-565-4930,https://theiclr.org/sunday-school/,principal@hudaacademy.org,,Principal,34.7221727,-92.3333719,9,1,1
10,53371735-d8cd-471b-b518-277da98916bb,Bentonville Islamic Center,"1801 SW 2nd St, Bentonville, AR 72712",Bentonville,Arkansas,72712,United States,1 (479) 385-6242,https://bic-ar.org/,bicnwa@gmail.com,,,36.3713189,-94.23475669999999,10,1,1
11,d7e297c1-46ec-4761-85d4-ffe4f3540ca2,MEdina Institute,,,Arkansas,,United States,,,sundayschool@madinainstitute.us,,,,,11,1,1
12,1097f344-70e2-43a7-a49f-839f727f13b0,Rocky Mountain Islamic Center,"7510 W Mississippi Ave, Lakewood, CO 80226",Lakewood,Colorado,80232,United States,1 720-583-4463,https://www.rmislamiccenter.com,rmislamiccenter@gmail.com,,,39.6956151,-105.0801732,12,1,1
13,8c8cccbd-2be6-496c-afd1-e8b99f17e3aa,Masjid Al Nur,"2124 S Birch St, Denver, CO 80222",Denver,Colorado,80222,United States,(303) 759-1985,https://disbirchstreet.wixsite.com/masjid-alnur,dis.birchstreet@gmail.com,,,39.6776297,-104.935989,13,1,1
14,301e69d4-3f88-4d38-a803-cae7dc5ff36e,Islamic Center of Fort Collins,"925 W Lake St, Fort Collins, CO 80521",Fort Collins,Colorado,80521,United States,1 (970) 221-2425,https://www.icfc.org/,info@icfc.org,,,40.5684445,-105.0944398,14,1,1
