OBJECTID,SCHOOL_NAME,SCHOOL_ADDRESS,city,state,ZIP_CODE,phone,website,CONTACT_PERSON,role,EMAIL_ADDRESS,latitude,longitude,FID
1,Birmingham Islamic Society-Weekend Islamic school,"2524 Hackberry Ln, Hoover, AL 35226",Hoover,California,94583,925-380-6432,https://srvic.org/islamic-school/,Nasira Sharieff,,hasiba@SRVIC.org,37.77678700000001,-121.969178,1
2,Huntsville Islamic Center - Sunday Islamic School,"1645 Sparkman Dr NW, Huntsville, AL 35816",Huntsville,California,94583,925-380-6432,https://srvic.org/islamic-school/,Nasira Sharieff,,hasiba@SRVIC.org,37.77678700000001,-121.969178,2
3,Islamic Center of Tuscaloosa,"1416 Paul W Bryant Dr, Tuscaloosa, AL 35401",Tuscaloosa,California,94583,925-380-6432,https://srvic.org/islamic-school/,Nasira Sharieff,,hasiba@SRVIC.org,37.77678700000001,-121.969178,3
4,Fahed Al Aoida School,"E 80th Ave, Anchorage, AK 99518",Anchorage,California,94583,925-380-6432,https://srvic.org/islamic-school/,Nasira Sharieff,,hasiba@SRVIC.org,37.77678700000001,-121.969178,4
5,ICNEV LEARNING CENTER - Islamic Center North East Valley,"12125 E Vía Linda, Scottsdale, AZ 85259",Chandler,California,94583,925-380-6432,https://srvic.org/islamic-school/,Nasira Sharieff,,hasiba@SRVIC.org,37.77678700000001,-121.969178,5
6,ICEV Sunday School,"425 N Alma School Rd, Chandler, AZ 85225",Chandler,California,94583,925-380-6432,https://srvic.org/islamic-school/,Nasira Sharieff,,hasiba@SRVIC.org,37.77678700000001,-121.969178,6
7,Islamic Community Center of Phoenix,"7516 N Black Cyn Hwy, Phoenix, AZ 85051",Phoenix,California,94583,925-380-6432,https://srvic.org/islamic-school/,Nasira Sharieff,,hasiba@SRVIC.org,37.77678700000001,-121.969178,7
8,Ariizona Culturul Academy,"7810 S 42nd Pl, Phoenix, AZ 85042",Phoenix,California,94583,925-380-6432,https://srvic.org/islamic-school/,Nasira Sharieff,,hasiba@SRVIC.org,37.77678700000001,-121.969178,8
9,Islamic Center of Little Rocks,"3224 Anna St, Little Rock, AR 72204",Little Rock,California,94583,925-380-6432,https://srvic.org/islamic-school/,Nasira Sharieff,,hasiba@SRVIC.org,37.77678700000001,-121.969178,9
10,Bentonville Islamic Center,"1801 SW 2nd St, Bentonville, AR 72712",Bentonville,California,94583,925-380-6432,https://srvic.org/islamic-school/,Nasira Sharieff,,hasiba@SRVIC.org,37.77678700000001,-121.969178,10
11,MEdina Institute,,,California,94583,925-380-6432,https://srvic.org/islamic-school/,Nasira Sharieff,,hasiba@SRVIC.org,37.77678700000001,-121.969178,11
12,Rocky Mountain Islamic Center,"7510 W Mississippi Ave, Lakewood, CO 80226",Lakewood,California,94583,925-380-6432,https://srvic.org/islamic-school/,Nasira Sharieff,,hasiba@SRVIC.org,37.77678700000001,-121.969178,12
13,Masjid Al Nur,"2124 S Birch St, Denver, CO 80222",Denver,California,94583,925-380-6432,https://srvic.org/islamic-school/,Nasira Sharieff,,hasiba@SRVIC.org,37.77678700000001,-121.969178,13
14,Islamic Center of Fort Collins,"925 W Lake St, Fort Collins, CO 80521",Fort Collins,California,94583,925-380-6432,https://srvic.org/islamic-school/,Nasira Sharieff,,hasiba@SRVIC.org,37.77678700000001,-121.969178,14
