name,address,city,state,zip_code,country,phone,website,email_primary,contact_person,contact_person_role,latitude,longitude
Birmingham Islamic Society-Weekend Islamic school,"2524 Hackberry Ln, Hoover, AL 35226",Hoover,Alabama,35226,United States,1 205-879-4247,https://www.bisweb.org/wis/,nasim.uddin@bisweb.org,Nasim Uddin,President,33.4194263,-86.8147379
Islamic Center of Tuscaloosa,"1416 Paul W Bryant Dr, Tuscaloosa, AL 35401",Tuscaloosa,Alabama,35401,United States,1 205 886 0596,https://istuscaloosa.org,support@istuscaloosa.org,,,33.2068501,-87.5558584
Fahed Al Aoida School,"E 80th Ave, Anchorage, AK 99518",Anchorage,Alaska,99518,United States,907-250-3664,https://alaskamasjid.org/FahedAlAodaSchool.html,alaskamuslimcommunity@yahoo.com,Dali Osmane,In Charge,61.1483494,-149.8640232
ICNEV LEARNING CENTER - Islamic Center North East Valley,"12125 E Vía Linda, Scottsdale, AZ 85259",Chandler,Arizona,85259,United States,(602) 456-0199,https://islamcenter.com/icnev-learning-center,pr@islamcenter.com,,In Charge,33.5892363,-111.8187643
Islamic Community Center of Phoenix,"7516 N Black Cyn Hwy, Phoenix, AZ 85051",Phoenix,Arizona,8505,United States,(602) 249-0496,https://iccpaz.com/school/,info@iccpaz.com,,,33.5465429,-112.1127951
Bentonville Islamic Center,"1801 SW 2nd St, Bentonville, AR 72712",Bentonville,Arkansas,72712,United States,1 (479) 385-6242,https://bic-ar.org/,bicnwa@gmail.com,,,36.3713189,-94.2347567
Islamic Center of Fort Collins,"925 W Lake St, Fort Collins, CO 80521",Fort Collins,Colorado,80521,United States,1 (970) 221-2425,https://www.icfc.org/,info@icfc.org,,,40.5684445,-105.0944398
South Denver Islamic Center,"Greenwood Village, CO 80155",Green Wood,Colorado,80155,United States,720-772-7342,https://www.khadeejah.org/,,Mohammad Waseem Khan,President,39.5969612,-104.8603104
Cresent View Academy,"10958 E Bethany Dr, Aurora, CO 80014",Aurora,Colorado,80014,United States,(303) 745-2245,http://crescentview.org/,info@crescentview.org,Iyad Wazwaz,Principal,39.6628965,-104.8608766
Metropolitan Denver North Islamic Center,"11141 Irma Dr, Northglenn, CO 80233",Northglenn,Colorado,80233,United States,303-920-0252,www.masjidikhlas.org,ikhlasacademy@masjidikhlas.org,,,39.8982844,-104.966958
Quba Masjid,"Hayes, UK",Alameda,California,94550,United States,44(0) 208 150 9299,https://www.qubamasjid.com/qubamadrasah/,info@qubamasjid.com,,,51.516758,-0.436786
Masjid Al Taqwa,"2181 Lake Ave, Altadena, CA 91001",Altadena,California,91001,United States,310-904-9288,http://altaqwamasjid.com/,milakhani21@yahoo.com,Br. Mohammad Iqbal Lakhani,In Charge,34.1833803,-118.1318577
The Islamic Shoura Council of Bakersfield,"701 Ming Ave #146, Bakersfield, CA 93307",Bakersfield,California,93307,United States,661-303-1543,http://www.iscob.org/school.html,info@iscob.org,,,35.3392281,-119.0101214
Al-Iman Sunday School (Yassen Foundation),"1722 Gilbreth Rd, Burlingame, CA 94010",Belmont,California,94002,United States,650-797-0681,https://www.yaseen.org/programs/al-iman-school,principal@alimanislamicschool.org,,Principal,37.599325,-122.3740648
Brentwood Muslim Community Center - (Weekend School),"7701 Lone Tree Wy, Brentwood, CA 94513",Brentwood,California,94513,United States,925-298-2622,https://brmcc.org/#,info@brmcc.org,Fahim Choudhary,In Charge,37.9612158,-121.7105947
Hikmah School (Brentwood Muslim Community Center),"7701 Lone Tree Wy, Brentwood, CA 94513",Brentwood,California,94513,United States,925-298-2622,https://hikmahschool.com/,info@hikmahschool.com,Fahim Choudhary,In Charge,37.9612158,-121.7105947
Prime Years Academy,"495 Santana Way, Corona, CA 92881",Corona,California,92881,United States,951-561-3643,https://www.primeyearsacademy.com,director.primeyears@yahoo.com,,,33.8511327,-117.5618038
ISCN Learning Center,"495 Santana Way, Corona, CA 92881",Corona,California,92881,United States,951-264-6739,https://www.tlc-corona.org/,schooldirector.tlc@gmail.com​,Ms. Aniqa Janjua,School Director & Principal,33.8511327,-117.5618038
Islamic Society of Folsom,"1835 Prairie City Rd, Folsom, CA 95630",Folsom,California,95630,United States,(916)294-3047,http://masjidbilal.com,,Dr. Dale Hamad,In Charge,38.6523393,-121.1656249
Sunday Islamic School of Fremont,"42412 Albrae St, Fremont, CA 94538",Fremont,California,94538,United States,408-309-3798,https://sites.google.com/sisfonline.com/home/,imtiaz622@gmail.com,Mr. Imtiaz,Principal,37.5093342,-121.9718158
Masjid Fresno Islamic Center,"2111 E Shaw Ave, Fresno, CA 93710",Fresno,California,93710,United States,559-222-6686,https://www.masjidfresno.org/,sheikhramadan@gmail.com,Seikh Ramadan,Imam,36.808313,-119.7517292
Masjid Madera,"16634 Rd 26, Madera, CA 93638",Madera,California,93638,United States,(559) 885-3400,http://www.masjidmadera.com,masjidmadera@gmail.com,Abdullah,In Charge,36.9910784,-120.0746963
Masjid Darus Salam,"374 Turquoise St, Milpitas, CA 95035",Milpitas,California,95035,United States,408-786-9658,https://alhilaal.org,info@alhilaal.org,,,37.42669,-121.8961936
Al Nur Islamic Center,"Palo Verde professional building, 4959 Palo Verde St 205 c, Montclair, CA 91763",Montclair,California,91763,United States,626-378-8156,https://www.alnuric.org/,admin@alnooric.org,,,34.0809153,-117.6967865
Islamic Center of Ventura County,"271 Riverpark Blvd, Oxnard, CA 93036",Oxnard,California,93036,United States,805-427-2081,https://icovc.org/classes/,hasnatsaleh@ yahoo.com,Br. Abul Saleh,Coordinator,34.2348802,-119.1740305
Ahlul Beyt Mosque,"2155 Murchison Ave, Pomona, CA 91768",Pomona,California,91768,United States,909-622-9158,https://www.ahlulbeyt.net/ahlul-beyt-school/,,,,34.0717853,-117.7901775
Islamic Center of South Bay,"25816 Walnut St, Lomita, CA 90717",Lomita,California,90717,United States,(310) 534-1363,https://masjidalnoor.org/alnoor-islamic-weekend-school/,imamanas@masjidalnoor.org,Qari Anas Daghameen,Imam,33.788886,-118.311697
Masjid Annur Islamic Center,"6990 65th St, Sacramento, CA 95823",Sacramento,California,95828,United States,(916) 392 6687,https://www.masjidannur.com/services/annur-sunday-school,EducationDirector@masjidannur.com,,,38.499308,-121.4380799
Islamic Center od San Francisco,"400 Crescent Ave, San Francisco, CA 94110",Sanfrancisco,California,94110,United States,415.624.3754,https://www.icofsf.org,icofsf@gmail.com,,,37.7347493,-122.4167073
Noor Al Islam School (Masjid Noor Al Islam),"118 Jones St, San Francisco, CA 94102",San Francisco,California,94102,United States,(415) 292-9709,https://www.alsabeel.org/,alsabeel@alsabeel.org,,,37.7824221,-122.4120614
Mosque of San Gabriel,"1301 E Las Tunas Dr, San Gabriel, CA 91776",San Gabriel,California,91775,United States,(626) 285-2697,https://www.masjidgibrael.org/sunday-school/,masjidgibrael1301@gmail.com,,,34.1040863,-118.0793922
Alqarawiyyeen Schools (Blossom Valley Muslim Community Center),"5885 Santa Teresa Blvd #113, San Jose, CA 95123",San Jose,California,95123,United States,408-588-1717,https://www.bvmcc.org,Info@alqarawiyyeenschools.com,,School,37.2358679,-121.8317751
South Bay Islamic Association,"2345 Harris Way, San Jose, CA 95131",San Jose,California,95131,United States,,https://sbia.info/,sbiais@sbia.info,,School,37.4029415,-121.9052798
