"directory_organization_id","unique_id","user_id","name","address","city","state","zip_code","country","phone","website","email_primary","contact_person","contact_person_role","latitude","longitude","map_object_id","is_imported","is_active"
1,"0aa1eecb-feba-4b7e-af93-864e9f6b8c24",2,"Birmingham Islamic Society-Weekend Islamic school","2524 Hackberry Ln, Hoover, AL 35226","Hoover","Alabama",35226,"United States","1 205-879-4247","https://www.bisweb.org/wis/","nasim.uddin@bisweb.org","Nasim Uddin","President",33.4194263,-86.8147379,1,1,1
3,"4b481196-2c47-4918-bfcf-d25e99981548",2,"Islamic Center of Tuscaloosa","1416 Paul W Bryant Dr, Tuscaloosa, AL 35401","Tuscaloosa","Alabama",35401,"United States","1 205 886 0596","https://istuscaloosa.org","support@istuscaloosa.org","","",33.2068501,-87.5558584,3,1,1
4,"9b198915-0c25-432c-a6f7-fe3f8370e0d4",2,"Fahed Al Aoida School","E 80th Ave, Anchorage, AK 99518","Anchorage","Alaska",99518,"United States","907-250-3664","https://alaskamasjid.org/FahedAlAodaSchool.html","alaskamuslimcommunity@yahoo.com","Dali Osmane","In Charge",61.1483494,-149.8640232,4,1,1
5,"8efd4697-ec2d-4739-927d-e33f38230b3f",2,"ICNEV LEARNING CENTER - Islamic Center North East Valley","12125 E Vía Linda, Scottsdale, AZ 85259","Chandler","Arizona",85259,"United States","(602) 456-0199","https://islamcenter.com/icnev-learning-center","pr@islamcenter.com","","In Charge",33.5892363,-111.8187643,5,1,1
7,"f626f392-40c8-413f-acf7-911379379242",2,"Islamic Community Center of Phoenix","7516 N Black Cyn Hwy, Phoenix, AZ 85051","Phoenix","Arizona",8505,"United States","(602) 249-0496","https://iccpaz.com/school/","info@iccpaz.com","","",33.5465429,-112.1127951,7,1,1
10,"53371735-d8cd-471b-b518-277da98916bb",2,"Bentonville Islamic Center","1801 SW 2nd St, Bentonville, AR 72712","Bentonville","Arkansas",72712,"United States","1 (479) 385-6242","https://bic-ar.org/","bicnwa@gmail.com","","",36.3713189,-94.23475669999999,10,1,1
11,"d7e297c1-46ec-4761-85d4-ffe4f3540ca2",2,"MEdina Institute","","","Arkansas","","United States","","","sundayschool@madinainstitute.us","","","","",11,1,1
14,"301e69d4-3f88-4d38-a803-cae7dc5ff36e",2,"Islamic Center of Fort Collins","925 W Lake St, Fort Collins, CO 80521","Fort Collins","Colorado",80521,"United States","1 (970) 221-2425","https://www.icfc.org/","info@icfc.org","","",40.5684445,-105.0944398,14,1,1
15,"25cd7f23-116b-43ae-bf1d-9e34fe5df0cf",2,"South Denver Islamic Center","Greenwood Village, CO 80155","Green Wood","Colorado",80155,"United States","720-772-7342","https://www.khadeejah.org/","","Mohammad Waseem Khan","President",39.5969612,-104.8603104,15,1,1
16,"8ae0e55b-d619-4acc-bb45-e181afa80d66",2,"Cresent View Academy","10958 E Bethany Dr, Aurora, CO 80014","Aurora","Colorado",80014,"United States","(303) 745-2245","http://crescentview.org/","info@crescentview.org","Iyad Wazwaz","Principal",39.6628965,-104.8608766,16,1,1
17,"ac858acc-f57b-48be-859c-5041713c6fc1",2,"Metropolitan Denver North Islamic Center","11141 Irma Dr, Northglenn, CO 80233","Northglenn","Colorado",80233,"United States","303-920-0252","www.masjidikhlas.org","ikhlasacademy@masjidikhlas.org","","",39.8982844,-104.966958,17,1,1
18,"53908f45-006c-4016-b77a-00d21a8a9f88",2,"Quba Masjid","Hayes, UK","Alameda","California",94550,"United States","44(0) 208 150 9299","https://www.qubamasjid.com/qubamadrasah/","info@qubamasjid.com","","",51.516758,-0.436786,18,1,1
19,"360ace92-076f-4846-b63d-4aaa1a0b356a",2,"Masjid Al Taqwa","2181 Lake Ave, Altadena, CA 91001","Altadena","California",91001,"United States","310-904-9288","http://altaqwamasjid.com/","milakhani21@yahoo.com","Br. Mohammad Iqbal Lakhani","In Charge",34.1833803,-118.1318577,19,1,1
22,"2da446bc-bb6a-4de9-8a7c-ab170a7dc570",2,"The Islamic Shoura Council of Bakersfield","701 Ming Ave #146, Bakersfield, CA 93307","Bakersfield","California",93307,"United States","661-303-1543","http://www.iscob.org/school.html","info@iscob.org","","",35.3392281,-119.0101214,22,1,1
23,"669359c5-d2ff-4aa2-b006-6f3cc779d93e",2,"Al-Iman Sunday School (Yassen Foundation)","1722 Gilbreth Rd, Burlingame, CA 94010","Belmont","California",94002,"United States","650-797-0681","https://www.yaseen.org/programs/al-iman-school","principal@alimanislamicschool.org","","Principal",37.599325,-122.3740648,23,1,1
24,"c84386d8-1a1e-4411-a517-e56078b0d8a3",2,"Brentwood Muslim Community Center - (Weekend School)","7701 Lone Tree Wy, Brentwood, CA 94513","Brentwood","California",94513,"United States","925-298-2622","https://brmcc.org/#","info@brmcc.org","Fahim Choudhary","In Charge",37.9612158,-121.7105947,24,1,1
25,"fa857088-abb9-4334-ba7e-d72aea3af210",2,"Hikmah School (Brentwood Muslim Community Center)","7701 Lone Tree Wy, Brentwood, CA 94513","Brentwood","California",94513,"United States","925-298-2622","https://hikmahschool.com/","info@hikmahschool.com","Fahim Choudhary","In Charge",37.9612158,-121.7105947,25,1,1
28,"653934ad-332e-44ff-b493-bdafcce2a515",2,"Prime Years Academy","495 Santana Way, Corona, CA 92881","Corona","California",92881,"United States","951-561-3643","https://www.primeyearsacademy.com","director.primeyears@yahoo.com","","",33.8511327,-117.5618038,28,1,1
29,"d6c1f68c-46df-4e7e-9150-2990424b6730",2,"ISCN Learning Center","495 Santana Way, Corona, CA 92881","Corona","California",92881,"United States","951-264-6739","https://www.tlc-corona.org/","schooldirector.tlc@gmail.com​","Ms. Aniqa Janjua","School Director & Principal",33.8511327,-117.5618038,29,1,1
30,"bbf3b533-8b02-4993-b6f9-059d2a5e5d63",2,"Islamic Society of Folsom","1835 Prairie City Rd, Folsom, CA 95630","Folsom","California",95630,"United States","(916)294-3047","http://masjidbilal.com","","Dr. Dale Hamad","In Charge",38.6523393,-121.1656249,30,1,1
