name,address,city,state,zip_code,country,phone,Website,email_primary,contact_person,contact_person_role,latitude,longitude
Anniston Islamic Center,1821 McCall Drive,Anniston,Alabama,36207,United States,256-238-8613,https://annistonic.org/,,Dr. Khurram Fareed,President,,
Homewood Masjid | BIS,1810 25th Court South Homewood,Homewood,Alabama,35209,United States,205-879-4247,https://www.bisweb.org/,bisoffice@bisweb.org,,,,
Huntsville Islamic Center,1645 Sparkman Dr NW Huntsville,Huntsville,Alabama,35816,United States,256-721-1712,https://huntsvilleislamiccenter.org/,board@huntsvilleislamiccenter.org,,,,
American Islamic Center of Mobile,6702 Old Shell Road,Mobile,Alabama,36608,United States,251-366-5000,https://mobilemosque.com/,AICOFMOBILE@gmail.com,,,,
Muslim Center of Montgomery,4340 Court Street,Montgomery,Alabama,36105,United States,334-312-7872,https://www.mcmontgomery.org/,muslimcenterofmontgomery@gmail.com,,,,
Al-Huda Islamic Center,10 Cayuga Vista Drive,Lansing,New York,,United States,607-533-0357,https://alhudaislamiccenter.org/,contactus@alhudaislamiccenter.org,Mahmud Burton,President,,
Islamic Society of Tuscaloosa,!416 Paul W Bryant Drive,Tuscaloosa,Alabama,35401,United States,205-758-3382,https://istuscaloosa.org/,support@istuscalosa.org,,,,
The Islamic Community Of Anchorage Alaska,8005 Spring Street,Anchorage,Alaska,99518,United States,907-248-7333,https://alaskamasjid.org/,alaskamuslimcommunity@yahoo.com,,,,
Islamic Center of the East Valley,425 N Alma School Rd,Chadler,Arizona,85224,United States,480-910-0330,https://icev.org/,info@icevmasjid.org,,,,
Islamic Center of Laveen,5099 W Dobbins Rd #1,Laveen Village,Arizona,85339,United States,602-237-2666,https://www.islamiccenteroflaveen.org/,secretary@iclaveen.net,,,,
Masjid Bilal IBN Rabah,44370 Cesar Chavez Lane,Maricopa,Arizona,85138,United States,480-582-9993,https://masjidbilalaz.org/,masjidbilalaz@gmail.com,,,,
Majid Al-Noor,55 N. Matlock St.,Mesa,Arizona,85203,United States,480-644-0074,https://www.masjid-alnoor.org/,info@masjid-alnoor.org,,,,
Albanian American Islamic Center,5825 St. Charles Road,Berkeley,Arizona,60163,United States,708-544-2609,https://albanianamericanislamiccenter.com/,office@albanianilamciccenter.com,Mr. Ismail Mehmeti,President,,
Arizona Cultural Academy,7810 S 42nd PI,Phoenix,Arizona,85042,United States,602-454-1222,https://www.azacademy.org/,info@azacademy.org,,,,
Islamic Center of North East Valley,12125 East Via Linda,Scottsdale,Arizona,85259,United States,602-456-0199,https://islamcenter.com/,pr@islamcenter.com,,,,
Masjid Omar Bin Khatab,6225 S. Mcclintock Dr.,Tempe,Arizona,85283,United States,480-775-6627,https://masjidomartempe.org/,MasjidOmarTempe@Yahoo.com,,,,
ICC-Islamic Community Center of Tempe,131 E 6th Street Tempe,Tempe,Arizona,85281,United States,480-894-6070,https://tempemosque.com/,office@tempemosque.com,,,,
Muslim Community Center of Tucson,5100 N. Kevy Place,Tucson,Arizona,85704,United States,520-329-8568,https://www.mcctucson.org/,,,,,
Masjid Al-KHaliq,,Clarksville,Arkansas,72830,United States,813-922-8684,https://www.masjidalkhaliq.org/index.html,office@masjidalkhaliq.org,,,,
Muslim Center of Conway,1715 South Boulevard,Conway,Arkansas,,United States,501-339-8744,https://www.the-mcc.org/,info@the-mcc.org,,,,
Islamic Center Of Little Rock,3224 Anna St,Little Rock,Arkansas,72204,United States,501-565-4930,https://theiclr.org/,admin@theiclr.org,,,,
Masjid Ameen Zakariyya,1717 Wright Ave,Little Rock,Arkansas,72203,United States,501-372-1942,https://masjid.us/ar/ar-72203/,masjidamerica@gmail.com,,,,
Islamic Center of Alameda,901 Santa Clara Ave,Alameda,California,94501,United States,510-748-9052,https://icabayarea.org/,info@icabayarea.org,,,,
Quba Masjid,"Quba Masjid Hayes, Golden Crescent",Alameda,California,94501,United States,208-150-9299,https://www.qubamasjid.com/,info@qubamasjid.com,,,,
Salaam Islamic Center,1136 N. Brookhurst St.,Anaheim,California,92801,United States,714-999-2800,https://www.aicpca.org/,info@aicpca.org,,,,
Masjid Al-Ansar,1717 S. Brookhurst Street Anaheim,Anaheim,California,92804,United States,714-535-1100,https://www.wcismasjid.com/,office@wcismasjid.com,,,,
Islamic Center of East Bay,33330 Peace Terrace,Fremont,California,94555,United States,510-429-4732,https://isebfremont.org/,info@iseb.org,,,,
Masjid Al-Fatiha of America,210 N Citrus Ave,Azusa,California,91702,United States,626-815-8679,https://www.masjidalfatiha.org/,masjid.alfatiha@gmail.com,,,,
Masjid Al-Rasool,1206 Erringer Road,Simi Valley,California,93065,United States,805-334--178,https://www.masjid-al-rasool.com/,masjid.rasool@gmail.com,,,,
Fatima Islamic Society,7252 Remmet Ave Suite 101,Canoga Park,California,91303,United States,818-347-8889,https://fatimasociety.org/,,,,,
Islamic Center of Chico,1316 Nord Avenue,Chico,California,95926,United States,530-342-5889,https://www.chicoislamiccenter.org/,milhan@mail.csuchico.edu,,,,
Chino Valley Islamic Center,4711 Chino Ave,Chico,California,91710,United States,909-786-1487,https://cvislamiccenter.org/,info@CVIslamicCenter.org,,,,
Al Rashid Mosque,13070113 Street,Edmonton,California,,United States,780-451-6694,https://alrashidmosque.ca/,info@alrashidmosque.ca,,,,
Dar Ul-Islam Masjid,2449 Buena Vista Avenue,Walnut Creek,California,94597,United States,925-482-0077,https://www.darulislam.org/,operations@darulislam.org,Khaled Saleh,Director of Operations,,
Islamic Center of Corona and Norco,465 Santana Way,Corona,California,92881,United States,951-736-8155,https://coronamuslims.com/,info@coronamuslims.com,,,,
Islamic Educational Center of Orange Country,3194-B Airport Loop Dr.,Costa Mesa,California,92626,United States,714-432-0062,https://iecoc.org/,info@iecoc.org,,,,
Kurdish Community Islamic Center,1357 Broadway,El Cajon,California,92021,United States,619-442-4435,https://masjidashty.com/,masjidashty2010@hotmail.com,,,,
AR-Rahman Islamic Center,"7641 Sierra Ave, Fontana",Fontana,California,92336,United States,909-355-4900,https://arrahmanislamiccenter.com/,email@ArrahmanIslamicCenter.com,,,,
Al-Medina Education Center,5880 Thornton Ave,Newark,California,94560,United States,510-516-7890,https://mec1.org/,info@mec1.org,,,,
Islamic Society of East Bay,33330 Peace Terrace,Fremont,California,94555,United States,510-429-4732,https://isebfremont.org/,info@iseb.org,,,,
Ibrahim Khalilullah Islamic Center,1121 Old Canyon Rd.,Fremont,California,95639,United States,510-651-0122,https://masjidikic.org/,Fareed.Wardak@IKICenter.org,,,,
Islamic Center of Fremont,4039 Irvington Avenue,Fremont,California,94538,United States,510-661-0352,https://icfbayarea.com/,wakilahmed2012@gmail.com,,,,
Badr Islamic Center,7150 N Milburn Ave,Fresno,California,93722,United States,559-297-9535,https://centrebadr.net/,mail@al-quean.com,,,,
Islamic Society of Orange Country,9752 13th Street Garden Grove,,California,92844,United States,714-531-1722,https://www.isocmasjid.org/,info@isocmasjid.org,,,,
Islamic Center of Northridge | Granada Hills Masjid,11439 Encino Ave,Granada Hills,California,91344,United States,818-360-3500,https://goicn.org/,info@goicn.org,,,,
The Islamic Center of Hawthorne,12209 Hawthorne Way,Hawthorne,California,90250,United States,31--973-8000,https://ichla.org/,info@ichla.org,,,,
Hayward Islamic Center,26320 Gading Rd.,Hayward,California,94544,United States,510-963-5578,https://www.masjidmuhajireen.org/,info@masjidmuhajireen.org,,,,
Masjid Muhajireen,185 Folson Ave.,Hayward,California,94544,United States,510-786-0313,https://www.masjidmuhajireen.org/,info@masjidmuhajireen.org,,,,
Fatimiyya Islamic Center,573 Barlett Ave,Hayward,California,,United States,510-244-7780,,FartimiyyaCenter@gmail.com,,,,
Islamic Center of Irvine,2 Truman,Irvine,California,92620,United States,949-786-4264,https://www.icoi.net/,ws@icoi.net,,,,
Islamic Center of North Valley,42554 4th St. E,Lancaster,California,93555,United States,661-726-4749,https://www.islamiccenterofnorthvalley.com/,admin@icnvmosque.com,,,,
Masjid Usman | Center for Religious Tolerance,7126 Westview PI,Lemon Grove,California,91945,United States,619-374-1043,https://masjidusman.org/,info@MasjidUsman.org,,,,
